text-small,f-m-20,f-m-20 2,d-iblock,d-iblock 2,d-iblock 3,d-iblock 4,d-iblock 5,
"08 Okt 2025
					16:43:35",Laporan Bulanan Registrasi Pemegang Efek [],BBNI,20251008_BBNI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965849_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek BBNI menunjukkan penurunan free float dari 39,44% menjadi 39,4% dan kenaikan jumlah pemegang saham sebanyak 6.569 pemegang"
"10 Okt 2025
					18:25:45",Berakhirnya Jabatan Anggota Dewan Komisaris Perseroan [],BBNI,20251010_BBNI_Laporan Informasi dan Fakta Material_31966877_lamp1.pdf,,,,,BBNI melaporkan terkait berakhirnya masa jabatan anggota Dewan Komisaris perseroan
"16 Okt 2025
					19:10:54",Laporan Tanggal Efektif Pengangkatan Anggota Dewan Komisaris PT Bank Negara Indonesia (Persero) Tbk [],BBNI,20251016_BBNI_Laporan Informasi dan Fakta Material_31967994_lamp1.pdf,,,,,BBNI melaporkan terkait tanggal efektif pengangkatan anggota Dewan Komisaris perseroan
"24 Okt 2025
					09:21:12",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BBNI,Ceklist LFR_30 Sept 2025_Optimized.pdf,FinancialStatement-2025-III-BBNI.xlsx,inlineXBRL.zip,instance.zip,LKFS BNI_Bilingual_30_Sep_2025_Released.pdf,"Laporan keuangan BBNI yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp15,23 triliun. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar Rp51,17 triliun. Selain itu, total aset BNI tumbuh dan mencapai Rp1.269,49 triliun pada akhir periode tersebut"
"24 Okt 2025
					16:44:32",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBNI,20251024_BBNI_Penyampaian Bukti Iklan_31979573_lamp1.pdf,,,,,BBNI menyampaikan bukti iklan publikasi laporan keuangan interim yang telah dimuat di media cetak dan situs web resmi
"24 Okt 2025
					16:48:27",Perseroan menyelenggarakan Earnings Call Kinerja [],BBNI,20251024_BBNI_Laporan Informasi dan Fakta Material_31979533_lamp1.pdf,,,,,BBNI melaporkan fakta material terkait penyelenggaraan earnings call atas kinerja keuangan perseroan posisi kuartal ketiga
"10 Okt 2025
					17:32:19",Laporan Bulanan Registrasi Pemegang Efek [],BBRI,20251010_BBRI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966723_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek BBRI menunjukkan penurunan pemegang saham sebanyak 7.988 pemegang
"16 Okt 2025
					19:01:15",Jatuh Tempo Obligasi / Sukuk Korporasi [],BBRI,20251016_BBRI_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967861_lamp1.pdf,,,,,BBRI mengumumkan penghentian pencatatan dan perdagangan Obligasi Berwawasan Lingkungan Berkelanjutan I Tahap II Seri B di Bursa Efek Indonesia sehubungan dengan tanggal jatuh tempo
"30 Okt 2025
					18:17:07",Penyampaian Materi Kinerja Keuangan BRI Triwulan III [],BBRI,20251030_BBRI_Laporan Informasi dan Fakta Material_31980945_lamp1.pdf,,,,,BBRI melaporkan fakta material terkait penyampaian materi pemaparan kinerja keuangan perseroan untuk triwulan ketiga
"30 Okt 2025
					18:17:38",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BBRI,BEI.pdf,BRI_Billingual_Konsol_30 September 2025 Released.pdf,Checklist Bapepam September 2025.pdf,FinancialStatement-2025-III-BBRI.xlsx,inlineXBRL.zip,"Laporan keuangan BBRI yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 40,78 triliun. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar 155,16 triliun. Selain itu, total aset BBRI tumbuh dan mencapai 2.123,45 triliun pada akhir periode tersebut"
"31 Okt 2025
					17:26:28",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBRI,20251031_BBRI_Penyampaian Bukti Iklan_31981207_lamp5.pdf,20251031_BBRI_Penyampaian Bukti Iklan_31981207_lamp4.pdf,20251031_BBRI_Penyampaian Bukti Iklan_31981207_lamp1.pdf,20251031_BBRI_Penyampaian Bukti Iklan_31981207_lamp3.pdf,20251031_BBRI_Penyampaian Bukti Iklan_31981207_lamp7.pdf,BBRI menyampaikan bukti iklan publikasi informasi Laporan Keuangan Konsolidasian yang telah diiklankan di beberapa media cetak nasional serta situs web resmi
"31 Okt 2025
					17:30:23",Laporan Kesiapan Dana Pelunasan MTN Bank BRI Seri B [],BBRI,20251031_BBRI_Laporan Informasi dan Fakta Material_31981282_lamp1.pdf,,,,,BBRI melaporkan kesiapan dana sebesar Rp3.000.000.000.000 yang ditempatkan pada High Quality Liquid Asset untuk pelunasan pokok Medium Term Notes Seri B yang tidak memberikan dampak material negatif terhadap likuiditas maupun kelangsungan usaha perseroan
"09 Okt 2025
					17:01:24",Laporan Bulanan Registrasi Pemegang Efek [],BBTN,20251008_BBTN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965712_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek BBTN menunjukkan peningkatan pemegang saham sebanyak 5.306 pemegang
"10 Okt 2025
					08:15:45",Pemberitahuan Rencana Rapat Umum Pemegang Saham Luar Biasa [],BBTN,20251010_BBTN_Pengumuman RUPS_31966499_lamp1.pdf,,,,,BBTN menyampaikan pemberitahuan terkait rencana penyelenggaraan Rapat Umum Pemegang Saham Luar Biasa yang dijadwalkan pada bulan depan
"13 Okt 2025
					16:36:45",Penyampaian Bukti Iklan Pemberitahuan RUPS [],BBTN,20251010_BBTN_Penyampaian Bukti Iklan_31966615_lamp1.pdf,,,,,"BBTN menyampaikan bukti iklan pemberitahuan Rapat Umum Pemegang Saham Luar Biasa perseroan yang telah dipublikasikan melalui situs web resmi perusahaan, Bursa Efek Indonesia, dan KSEI"
"20 Okt 2025
					21:14:18",Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],BBTN,20251020_BBTN_Laporan Hasil Pemeringkatan_31978503_lamp1.pdf,,,,,BBTN melaporkan hasil pemeringkatan tahunan atas instrumen obligasi perseroan dari Fitch Ratings Indonesia dengan peringkat AAA(idn) serta prospek stabil
"23 Okt 2025
					19:40:02",Penyampaian Materi Analyst Meeting PT Bank Tabungan Negara (Persero) Tbk per September [],BBTN,20251023_BBTN_Laporan Informasi dan Fakta Material_31979365_lamp1.pdf,,,,,BBTN melaporkan fakta material terkait penyampaian materi analyst meeting perseroan untuk kinerja keuangan posisi kuartal ketiga
"24 Okt 2025
					21:18:39",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BBTN,1803.DIR.CSD.X.2025.pdf,btn_billingual_30_september_25_released.pdf,Checklist BBTN 30 September 2025.pdf,FinancialStatement-2025-III-BBTN.xlsx,inlineXBRL.zip,"Laporan keuangan BBTN yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp2,30 triliun. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar Rp23,27 triliun. Selain itu, total aset BTN tumbuh dan mencapai Rp510,86 triliun pada akhir periode tersebut"
"24 Okt 2025
					21:35:55",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBTN,20251024_BBTN_Penyampaian Bukti Iklan_31979661_lamp2.pdf,20251024_BBTN_Penyampaian Bukti Iklan_31979661_lamp1.pdf,,,,BBTN menyampaikan bukti iklan atas Informasi Laporan Keuangan Interim perseroan untuk triwulan ketiga yang telah dipublikasikan melalui situs web resmi perusahaan
"27 Okt 2025
					20:01:19",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],BBTN,20251026_BBTN_Pemanggilan RUPS_31979669_lamp1.pdf,,,,,BBTN menyampaikan pemanggilan Rapat Umum Pemegang Saham Luar Biasa yang akan dilaksanakan pada bulan depan dengan agenda persetujuan spin-off Unit Usaha Syariah kepada PT Bank Syariah Nasional serta perubahan Anggaran Dasar perseroan
"28 Okt 2025
					18:57:28",Penyampaian Bukti Iklan Panggilan RUPS [],BBTN,20251028_BBTN_Penyampaian Bukti Iklan_31980022_lamp1.pdf,,,,,"BBTN menyampaikan bukti iklan pemanggilan Rapat Umum Pemegang Saham Luar Biasa perseroan yang telah dipublikasikan melalui situs web resmi perusahaan, Bursa Efek Indonesia, dan KSEI"
"08 Okt 2025
					17:40:39",Laporan Bulanan Registrasi Pemegang Efek [],BMRI,20251006_BMRI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964558_lamp2.pdf,20251006_BMRI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964558_lamp3.pdf,,,,"Laporan Bulanan Registrasi Pemegang Efek BMRI menunjukkan saham free float meningkat menjadi 38,34% dan pemegang saham bertambah sebanyak 42.263 pemegang"
"28 Okt 2025
					17:53:41",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BMRI,FinancialStatement-2025-III-BMRI.xlsx,inlineXBRL.zip,instance.zip,LK PT Bank Mandiri-September 2025.pdf,Surat Pengantar Corsec - BEI September 2025.pdf,"Laporan keuangan BMRI yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp41,37 triliun. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar Rp122,30 triliun. Selain itu, total aset Bank Mandiri tumbuh dan mencapai Rp2.563,36 triliun pada akhir periode tersebut"
"28 Okt 2025
					19:45:48",Penyampaian Press Release Pemaparan Kinerja Perseroan [],BMRI,20251028_BMRI_Laporan Informasi dan Fakta Material_31980248_lamp1.pdf,,,,,BMRI menyampaikan fakta material terkait penyerahan siaran pers pemaparan kinerja keuangan perseroan
"28 Okt 2025
					19:46:32",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BMRI,20251028_BMRI_Penyampaian Bukti Iklan_31980264_lamp2.pdf,20251028_BMRI_Penyampaian Bukti Iklan_31980264_lamp1.pdf,,,,BMRI menyampaikan bukti iklan atas Informasi Laporan Keuangan Interim perseroan untuk triwulan ketiga yang telah dipublikasikan di surat kabar harian Kompas
"09 Okt 2025
					16:37:51",Laporan Bulanan Registrasi Pemegang Efek [],BRIS,20251008_BRIS_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965720_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek BRIS menunjukkan peningkatan pemegang saham sebanyak 3.044 pemegang
"13 Okt 2025
					17:15:51",Laporan Informasi Efektif Pengangkatan Direktur Perseroan [],BRIS,20251013_BRIS_Laporan Informasi dan Fakta Material_31967113_lamp1.pdf,,,,,BRIS melaporkan fakta material terkait tanggal efektif pengangkatan Kemas Erwan Husainy sebagai Direktur Retail Banking dan Muharto Hadi Suprapto sebagai Direktur Information Technology setelah memperoleh persetujuan Otoritas Jasa Keuangan
"29 Okt 2025
					20:18:07",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BRIS,051894-3DIR-CFA.pdf,Checklist Bappepam 30 Sep 2025.pdf,FinancialStatement-2025-III-BRIS.xlsx,inlineXBRL.zip,instance.zip,"Laporan keuangan BRIS yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 5,57 triliun. Sepanjang periode tersebut, pendapatan pengelolaan dana perseroan tercatat sebesar 21,04 triliun. Selain itu, total aset BSI tumbuh dan mencapai 416,57 triliun pada akhir periode tersebut"
"30 Okt 2025
					17:58:35",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BRIS,20251030_BRIS_Penyampaian Bukti Iklan_31980710_lamp2.pdf,20251030_BRIS_Penyampaian Bukti Iklan_31980710_lamp1.pdf,,,,"BRIS menyampaikan bukti iklan atas Informasi Laporan Keuangan Interim perseroan untuk triwulan ketiga yang telah dipublikasikan di surat kabar Media Indonesia, situs web resmi perusahaan, dan situs web Bursa Efek Indonesia"
"07 Okt 2025
					16:03:07",Laporan Bulanan Registrasi Pemegang Efek [],BRPT,20251002_BRPT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31953919_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek BRPT menunjukkan kenaikan saham scripless dari 27,97% menjadi 27,98%, penurunan saham treasury dari 0,05% menjadi 0,04%, kenaikan free float dari 27,19% menjadi 27,2%, dan penurunan pemegang saham sebanyak 5.329 pemegang"
"13 Okt 2025
					16:16:12",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,20251013_BRPT_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31966959_lamp1.pdf,,,,,"BRPT melaporkan perubahan kepemilikan saham oleh direksi yang melakukan transaksi pembelian dan penjualan sejumlah 0,0006% saham untuk keperluan pribadi"
"29 Okt 2025
					17:05:12",Rencana Penyelenggaraan Public Expose - Tahunan [],BRPT,20251027_BRPT_Public Expose_31979797_lamp1.pdf,,,,,BRPT melaporkan rencana penyelenggaraan Public Expose Tahunan secara elektronik yang dijadwalkan pada bulan depan
"31 Okt 2025
					16:23:46",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BRPT,BRPT Financial Statement - 30 Sept. 2025.pdf,BRPT SP LK 30 September 2025.pdf,FinancialStatement-2025-III-BRPT.xlsx,inlineXBRL.zip,instance.zip,"Laporan keuangan BRPT yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 30,36 milliar. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 92,80 triliun, serta total aset BRPT tumbuh dan mencapai 267,08 triliun"
"31 Okt 2025
					17:07:14",Siaran Pers PT Barito Pacific Tbk terkait dengan Kinerja Konsolidasian Perseroan Yang Tidak Diaudit [],BRPT,20251031_BRPT_Laporan Informasi dan Fakta Material_31981261_lamp3.pdf,20251031_BRPT_Laporan Informasi dan Fakta Material_31981261_lamp1.pdf,20251031_BRPT_Laporan Informasi dan Fakta Material_31981261_lamp2.pdf,,,BRPT menyampaikan fakta material terkait penerbitan siaran pers mengenai kinerja keuangan konsolidasian perseroan yang tidak diaudit untuk periode kuartal ketiga
"07 Okt 2025
					08:28:08",Laporan Bulanan Registrasi Pemegang Efek [],CPIN,20251007_CPIN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965068_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek CPIN menunjukkan penurunan pemegang saham sebanyak 3.092 pemegang
"29 Okt 2025
					16:40:58",Penjelasan atas Pemberitaan Media Massa [],CPIN,,,,,,"CPIN menyampaikan klarifikasi kepada PT Bursa Efek Indonesia terkait pemberitaan mengenai kontaminasi radioaktif di Cikande, dengan mengonfirmasi bahwa perseroan dan entitas anaknya tidak memiliki fasilitas produksi di kawasan industri tersebut yang terdampak proses dekontaminasi"
"31 Okt 2025
					15:59:07",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],CPIN,CPIN 036 CPIN-PM X 2025.pdf,CPIN Surat Pernyataan Direksi 311025.pdf,CPIN-250930IE.pdf,FinancialStatement-2025-III-CPIN.xlsx,inlineXBRL.zip,"Laporan keuangan CPIN yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 3,37 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 50,60 triliun. Selain itu, total aset Charoen Pokphand Indonesia tumbuh dan mencapai 43,72 triliun pada akhir periode tersebut."
"10 Okt 2025
					10:27:19",Laporan Bulanan Registrasi Pemegang Efek [],CTRA,20251010_CTRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966531_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek CTRA menunjukkan peningkatan pemegang saham sebanyak 3.820 pemegang
"31 Okt 2025
					10:42:41",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],CTRA,FinancialStatement-2025-III-CTRA.xlsx,inlineXBRL.zip,instance.zip,PT Ciputra Development Tbk 30 September 2025.pdf,,"Laporan keuangan CTRA yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 1,75 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 8,39 triliun. Selain itu, total aset Ciputra Development Tbk mencapai 46,20 triliun"
"01 Okt 2025
					06:07:39",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,20250930_EXCL_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31953439_lamp1.pdf,,,,,"EXCL melaporkan perubahan kepemilikan saham oleh direksi yang membeli sejumlah 0,0027% saham untuk transaksi pembelian saham"
"01 Okt 2025
					17:10:02",Perubahan Internal Audit [],EXCL,,,,,,EXCL melaporkan informasi terkait pergantian ketua unit audit internal perseroan
"07 Okt 2025
					18:23:31",Rencana Penyampaian Laporan Keuangan Kuartal III Ditelaah secara terbatas [],EXCL,,,,,,EXCL melaporkan informasi terkait pergantian ketua unit audit internal perseroan
"09 Okt 2025
					16:04:54",Laporan Bulanan Registrasi Pemegang Efek [],EXCL,,,,,,"Laporan Bulanan Registrasi Pemegang Efek EXCL menunjukkan penurunan saham scrip dari 0,72% menjadi 0,7199%, penurunan saham scripless dari 26,495% menjadi 26,463%, penurunan free float dari 23,88% menjadi 23,85%, dan penurunan pemegang saham sebanyak 561 pemegang"
"15 Okt 2025
					14:51:28",Pemberitahuan Rencana Rapat Umum Pemegang Saham Luar Biasa [],EXCL,20251015_EXCL_Pengumuman RUPS_31967641_lamp1.pdf,20251015_EXCL_Pengumuman RUPS_31967641_lamp2.pdf,,,,EXCL menyampaikan pemberitahuan rencana penyelenggaraan Rapat Umum Pemegang Saham Luar Biasa yang dilaksanakan secara fisik dan elektronik di Gedung XLSMART Tower beserta ketentuan penentuan daftar pemegang saham yang berhak hadir
"15 Okt 2025
					18:24:54",Jatuh Tempo Obligasi / Sukuk Korporasi [],EXCL,,,,,,EXCL mengumumkan delisting instrumen Obligasi Berkelanjutan I Tahap I Seri D dan Sukuk Ijarah Berkelanjutan II Tahap I Seri D dari Bursa Efek Indonesia seiring dengan datangnya tanggal jatuh tempo instrumen tersebut
"15 Okt 2025
					22:07:46",Informasi Kupon [],EXCL,,,,,,EXCL melaporkan informasi terkait pelaksanaan pembayaran kupon ke-28 untuk Obligasi Berkelanjutan I XL Axiata Tahap I Seri D dan Seri E pada pertengahan bulan depan
"15 Okt 2025
					22:13:40",Informasi Ijarah Fee [],EXCL,,,,,,EXCL melaporkan informasi terkait pelaksanaan pembayaran Ijarah Fee ke-28 untuk Sukuk Ijarah Berkelanjutan II XL Axiata Tahap I Seri D dan Seri E pada pertengahan bulan depan
"16 Okt 2025
					17:06:46",Pelunasan Pokok dan Bunga Obligasi dan Sukuk Ijarah Berkelanjutan [],EXCL,,,,,,EXCL melaporkan fakta material terkait pelunasan pokok dan bunga Obligasi Berkelanjutan I Tahap I Seri D serta Sukuk Ijarah Berkelanjutan II Tahap I Seri D pada pertengahan bulan lalu
"28 Okt 2025
					11:41:37",Informasi Ijarah Fee [],EXCL,20251027_EXCL_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31979898_lamp1.pdf,,,,,EXCL melaporkan informasi terkait pelaksanaan pembayaran Ijarah Fee ke-34 untuk Sukuk Ijarah Berkelanjutan I XL Axiata Tahap II Seri E yang dilengkapi dengan penyesuaian penambahan cicilan fee akibat penurunan peringkat kredit perseroan pada akhir bulan lalu
"30 Okt 2025
					16:15:36",Laporan Pengalihan Kembali Saham Hasil Buy Back [],EXCL,20251030_EXCL_Laporan Pengalihan Saham Hasil Buy Back_31980811_lamp1.pdf,,,,,EXCL melaporkan pelaksanaan pengalihan kembali seluruh saham hasil buyback perseroan yang dilakukan pada akhir bulan lalu
"30 Okt 2025
					17:01:00",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],EXCL,20251030_EXCL_Pemanggilan RUPS_31980743_lamp2.pdf,20251030_EXCL_Pemanggilan RUPS_31980743_lamp1.pdf,,,,EXCL menyampaikan pemanggilan Rapat Umum Pemegang Saham Luar Biasa yang dijadwalkan pada bulan depan dengan agenda persetujuan penggunaan sebagian saldo laba ditahan perseroan untuk dibagikan sebagai tambahan dividen tunai final
"08 Okt 2025
					16:24:59",Laporan Bulanan Registrasi Pemegang Efek [],GOTO,20251008_GOTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965803_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek GOTO menunjukkan penurunan saham scripless dari 77,04% menjadi 77%, kenaikan saham treasury dari 2,7% menjadi 2,74%, dan kenaikan pemegang saham sebanyak 6.285 pemegang"
"29 Okt 2025
					16:24:45",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],GOTO,FinancialStatement-2025-III-GOTO.xlsx,inlineXBRL.zip,instance.zip,LKFS - 30 September 2025.pdf,Surat Pengantar_LK Q3 2025.pdf,"Laporan keuangan GOTO yang tidak diaudit menunjukkan perolehan pendapatan usaha mencapai 13,30 triliun dengan beban pokok pendapatan sebesar 5,63 triliun. Selain itu, total aset GOTO tercatat sebesar 42,11 triliun pada akhir periode tersebut"
"29 Okt 2025
					17:01:14",Penyampaian Laporan Keuangan [],GOTO,20251029_GOTO_Laporan Informasi dan Fakta Material_31980550_lamp2.pdf,20251029_GOTO_Laporan Informasi dan Fakta Material_31980550_lamp1.pdf,,,,GOTO menyampaikan laporan keuangan konsolidasian perseroan yang tidak diaudit untuk periode kuartal ketiga
"29 Okt 2025
					20:33:39",Siaran Pers_Grup GoTo Mencatatkan Laba Sebelum Pajak Yang Disesuaikan Kuartalan Pertama dan Menaikkan Pedoman Kinerja Tahunan dalam Laporan Kinerja Kuartal Ketiga [],GOTO,20251029_GOTO_Laporan Informasi dan Fakta Material_31980606_lamp1.pdf,,,,,GOTO menyampaikan siaran pers terkait capaian laba sebelum pajak yang disesuaikan untuk pertama kalinya pada kuartal ketiga serta penaikkan pedoman kinerja tahunan perseroan
"10 Okt 2025
					16:30:04",Laporan Bulanan Registrasi Pemegang Efek [],ICBP,,,,,,Laporan Bulanan Registrasi Pemegang Efek ICBP menunjukkan penurunan pemegang saham sebanyak 1.680 pemegang
"31 Okt 2025
					16:29:22",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ICBP,FinancialStatement-2025-III-ICBP.xlsx,Icbp_billingual_30_Sep_25.pdf,ICBP_KI_Surat pengantar XBRL 9M25_251014.pdf,inlineXBRL.zip,instance.zip,"Laporan keuangan ICBP yang tidak diaudit mencatatkan laba bersih sebesar Rp7,11 triliun dengan total penjualan mencapai Rp56,27 triliun hingga kuartal ketiga tahun tersebut. Pertumbuhan ini turut menyokong jumlah aset perseroan yang meningkat hingga mencapai Rp132,41 triliun"
"31 Okt 2025
					16:31:40",Penyampaian Siaran Pers Kinerja Keuangan PT Indofood CBP Sukses Makmur Tbk [],ICBP,20251022_ICBP_Laporan Informasi dan Fakta Material_31978929_lamp1.pdf,,,,,ICBP menyampaikan fakta material terkait penerbitan siaran pers mengenai kinerja keuangan perseroan untuk periode kuartal ketiga
"06 Okt 2025
					11:16:34",Laporan Bulanan Registrasi Pemegang Efek [],INCO,20251006_INCO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964632_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek INCO menunjukkan penurunan pemegang saham sebanyak 4.220 pemegang
"08 Okt 2025
					17:07:45",Saham Hilang [],INCO,20251008_INCO_Pengumuman Bursa_31965813_lamp1.pdf,,,,,INCO menyampaikan pengumuman Bursa Efek Indonesia terkait informasi kehilangan surat kolektif saham perseroan pada bulan lalu
"10 Okt 2025
					08:04:47",Laporan Bulanan Aktivitas Eksplorasi [],INCO,20251010_INCO_Laporan Bulanan Aktivitas Eksplorasi_31966496_lamp1.pdf,,,,,INCO melaporkan bahwa tidak ada aktivitas eksplorasi yang dilakukan oleh perseroan pada periode ini
"14 Okt 2025
					21:29:23",Penjelasan atas Pemberitaan Media Massa [],INCO,20251014_INCO_Tanggapan atas Permintaan Penjelasan Bursa_31967468_lamp1.pdf,,,,,"INCO menyampaikan klarifikasi kepada PT Bursa Efek Indonesia terkait pemberitaan media massa mengenai penjualan solar di bawah harga pasar, dengan menyatakan berita tersebut tidak benar karena perseroan selalu membeli solar sesuai harga pasar yang berlaku serta menerapkan prinsip tata kelola perusahaan yang baik (Good Corporate Governance)"
"17 Okt 2025
					16:52:22",Saham Hilang [],INCO,20251017_INCO_Pengumuman Bursa_31968142_lamp1.pdf,20251017_INCO_Pengumuman Bursa_31968142_lamp2.pdf,,,,INCO menyampaikan pengumuman Bursa Efek Indonesia terkait informasi kehilangan surat kolektif saham perseroan pada pertengahan bulan lalu
"29 Okt 2025
					15:23:37",Penerbitan SKS Pengganti Karena Saham Hilang PT Vale Indonesia Tbk [],INCO,20251029_INCO_Pengumuman Bursa_31980376_lamp1.pdf,,,,,INCO menyampaikan pengumuman Bursa Efek Indonesia terkait penerbitan surat kolektif saham pengganti atas saham perseroan yang hilang pada akhir bulan lalu
"29 Okt 2025
					16:04:16",Siaran Pers Pencapaian Produksi dan Kinerja Keuangan Perseroan pada Triwulan Ketiga [],INCO,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp1.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp3.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp4.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp2.pdf,,INCO menyampaikan fakta material terkait penerbitan siaran pers mengenai pencapaian produksi dan kinerja keuangan perseroan untuk periode triwulan ketiga
"29 Okt 2025
					16:05:06",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],INCO,FinancialStatement-2025-III-INCO.xlsx,inlineXBRL.zip,instance.zip,PT Vale FS 30 Sept 2025.pdf,,"Laporan keuangan INCO yang tidak diaudit menunjukkan kinerja keuangan dengan perolehan laba bersih mencapai 0,87 triliun. Sepanjang periode tersebut, pendapatan usaha Vale Indonesia Tbk tercatat sebesar 11,76 triliun. Selain itu, total aset INCO tumbuh dan mencapai 54,10 triliun pada akhir periode tersebut"
"27 Okt 2025
					18:14:17","Evaluasi Indeks IDX30, LQ45, IDX80, KOMPAS100, BISNIS-27, MNC36, SMinfra18, IDXESGL []",INDEKS,No. Peng-00198_BEI.POP_10-2025-ID.zip,,,,,
"10 Okt 2025
					16:22:45",Laporan Bulanan Registrasi Pemegang Efek [],INDF,,,,,,"Laporan Bulanan Registrasi Pemegang Efek INDF menunjukkan kenaikan persentase saham free float dari 48,21% menjadi 48,24% serta penurunan pemegang saham sebanyak 40 pemegang"
"31 Okt 2025
					16:28:30",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],INDF,FinancialStatement-2025-III-INDF.xlsx,INDF_KI_Surat Pengantar XBRL 9M25_251014.pdf,inlineXBRL.zip,instance.zip,ISM_Billingual_30_September_2025_.pdf,"Laporan keuangan INDF yang tidak diaudit menunjukkan kinerja keuangan yang baik dengan perolehan laba bersih sebesar 7.881,35 milyar. Sepanjang periode sembilan bulan tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 90.981,09 milyar. Selain itu, total aset Indofood Sukses Makmur Tbk tumbuh dan mencapai 214.465,85 milyar"
